city,date,fare,ride_id
Lake Jonathanshire,1/14/2019 10:14,13.83,5.73941E+12
South Michelleport,3/4/2019 18:24,30.24,2.34391E+12
Port Samanthamouth,2/24/2019 4:29,33.44,2.00507E+12
Rodneyfort,2/10/2019 23:22,23.44,5.14925E+12
South Jack,3/6/2019 4:28,34.58,3.90845E+12
South Latoya,3/11/2019 12:26,9.52,1.995E+12
New Paulville,2/27/2019 11:17,43.25,7.93208E+11
Simpsonburgh,4/26/2019 0:43,35.98,1.11954E+11
South Karenland,1/8/2019 3:28,35.09,7.99562E+12
North Jasmine,3/9/2019 6:26,42.81,5.32764E+12
New Kimberlyborough,2/7/2019 1:10,9.34,7.99278E+12
West Angela,1/12/2019 1:45,26.86,4.82005E+12
Rodneyfort,3/2/2019 18:03,44.26,2.49406E+12
West Angela,1/10/2019 12:17,12.74,2.10872E+12
Roberthaven,5/4/2019 14:48,25.66,1.0262E+12
North Jason,3/28/2019 22:28,9.19,7.00702E+12
Williamsview,1/3/2019 16:19,18.93,1.97949E+12
Leahton,2/26/2019 18:42,8.85,6.96667E+12
West Anthony,3/6/2019 2:27,10.02,9.39676E+12
New Kimberlyborough,4/25/2019 22:58,29.67,4.82357E+12
Roberthaven,2/24/2019 10:26,7.8,2.18057E+12
New Paulton,5/1/2019 3:12,8.28,8.5271E+12
West Patrickchester,3/19/2019 5:46,40.86,8.98889E+11
Deanville,4/25/2019 3:29,41.52,6.05593E+12
West Josephberg,2/19/2019 16:22,36.39,3.32213E+12
West Samuelburgh,5/3/2019 14:33,41.12,7.33084E+12
West Heidi,3/14/2019 23:46,24.4,4.90857E+12
Loganberg,4/1/2019 1:06,8.23,6.78729E+11
Huntermouth,2/10/2019 23:32,25.79,1.88038E+12
South Latoya,1/11/2019 18:44,27.41,8.6623E+12
New Paulville,3/18/2019 22:54,25.05,5.0318E+12
Grahamburgh,1/15/2019 11:44,40.69,3.07021E+11
Port Frank,2/2/2019 14:14,41.47,6.74661E+12
East Kaylahaven,2/28/2019 4:13,25.96,3.66252E+12
Rodneyfort,2/3/2019 0:48,44.86,2.3257E+12
South Karenland,2/12/2019 6:52,36.01,4.01593E+12
West Robert,2/15/2019 4:21,12.28,1.4425E+12
North Markport,2/18/2019 8:17,38.09,9.25013E+11
Williamsview,3/12/2019 6:47,8.35,1.94044E+12
Richardfort,2/24/2019 8:40,13.93,5.62855E+12
New Kimberlyborough,3/14/2019 16:47,27.9,6.7508E+12
Reynoldsfurt,3/25/2019 14:33,34.06,6.60442E+12
South Karenland,5/8/2019 2:31,41.33,5.68892E+12
Rodneyfort,4/25/2019 20:57,21.7,8.5346E+12
Justinberg,4/23/2019 8:59,14.65,9.87823E+12
West Josephberg,3/5/2019 3:27,12.91,1.02685E+11
South Karenland,3/3/2019 14:48,37.3,4.104E+12
Leahton,5/5/2019 10:34,17.05,5.84659E+12
Martinezhaven,3/19/2019 15:31,5.3,2.64338E+11
North Jason,3/3/2019 2:13,28.02,2.67055E+12
Jerryton,3/3/2019 17:50,28.08,6.00341E+12
Lake Scottton,2/18/2019 9:22,25.02,3.90934E+12
South Evanton,2/14/2019 5:55,42.5,9.95366E+12
Rogerston,5/8/2019 1:54,32.69,1.64341E+12
West Samuelburgh,5/2/2019 13:55,38.77,2.93169E+12
West Ericstad,4/24/2019 3:20,7.31,4.29248E+12
New Paulville,3/10/2019 10:45,4.43,1.21392E+12
Hurleymouth,5/4/2019 21:50,21.44,4.03966E+12
West Samuelburgh,3/3/2019 3:17,25.17,1.78175E+12
Joneschester,3/1/2019 18:48,34.71,3.34326E+12
New Paulville,4/3/2019 7:51,32.7,9.56256E+12
Simpsonburgh,1/19/2019 23:06,15.83,2.33191E+11
Port Angela,4/17/2019 6:23,16.34,7.12053E+12
West Ericstad,4/4/2019 13:03,28.52,6.43285E+12
New Kimberlyborough,3/16/2019 1:38,17.19,2.77047E+12
Joneschester,1/30/2019 17:41,36.78,1.66403E+12
North Markport,4/26/2019 4:45,44.37,1.62842E+12
Hurleymouth,3/22/2019 11:19,32.85,8.44929E+12
Barajasview,1/15/2019 2:59,19.52,8.26811E+12
Grahamburgh,4/6/2019 13:48,23.87,1.46825E+12
South Michelleport,3/2/2019 9:54,33.12,8.13844E+11
Loganberg,1/7/2019 19:02,16.26,9.04538E+12
West Christopherberg,3/18/2019 17:14,12.64,1.06109E+12
Rogerston,2/23/2019 19:13,14.04,7.64714E+12
Huntermouth,2/24/2019 7:57,39.12,9.28039E+11
New Jacobville,2/9/2019 2:17,7.11,3.85505E+12
Lake Jonathanshire,4/7/2019 20:51,31.25,4.44125E+12
Port David,3/17/2019 14:42,33.11,1.02568E+12
Martinezhaven,2/20/2019 19:32,13.34,2.76069E+12
Port Frank,4/19/2019 19:35,26.47,6.72271E+12
Valentineton,3/2/2019 14:44,39.77,6.77039E+12
Hurleymouth,3/3/2019 11:28,36.31,1.67035E+11
Carriemouth,2/25/2019 8:26,32.37,6.91843E+12
Port Samanthamouth,4/16/2019 18:34,9.2,8.71225E+12
Williamsstad,1/23/2019 17:51,19.62,1.25986E+11
Royland,1/7/2019 2:23,24.5,3.62085E+12
New Jacobville,1/5/2019 5:02,34.11,2.82852E+12
Roberthaven,3/6/2019 22:56,12.38,3.37296E+12
South Evanton,1/7/2019 18:47,43.61,9.1225E+12
New Paulton,5/3/2019 12:09,21.67,9.08656E+12
Karenberg,3/11/2019 17:26,36.15,7.79676E+12
Rodneyfort,1/30/2019 12:34,16.99,5.77873E+12
East Kaylahaven,4/4/2019 2:35,23.18,57422927996
Huntermouth,2/19/2019 3:19,7.05,1.61652E+12
Barajasview,1/23/2019 13:23,37.68,4.10845E+12
Williamsstad,3/29/2019 21:43,35.58,4.74778E+12
